displayLabel|County|avgIncome:float|error:float|stateCounty
United States - Florida - Escambia County|Escambia County|43573|982|FL-Escambia County
United States - Florida - Flagler County|Flagler County|48090|1521|FL-Flagler County
United States - Florida - Franklin County|Franklin County|36490|3176|FL-Franklin County
United States - Florida - Gadsden County|Gadsden County|35728|3152|FL-Gadsden County
United States - Florida - Gilchrist County|Gilchrist County|37039|5693|FL-Gilchrist County
United States - Florida - Glades County|Glades County|39429|3776|FL-Glades County
United States - Florida - Gulf County|Gulf County|39178|3100|FL-Gulf County
United States - Florida - Hamilton County|Hamilton County|37613|3384|FL-Hamilton County
United States - Florida - Hardee County|Hardee County|37466|3630|FL-Hardee County
United States - Florida - Hendry County|Hendry County|37298|3997|FL-Hendry County
United States - Florida - Hernando County|Hernando County|42011|955|FL-Hernando County
United States - Florida - Highlands County|Highlands County|34946|1100|FL-Highlands County
United States - Florida - Hillsborough County|Hillsborough County|49536|530|FL-Hillsborough County
United States - Florida - Holmes County|Holmes County|32247|2360|FL-Holmes County
United States - Florida - Indian River County|Indian River County|47341|1249|FL-Indian River County
United States - Florida - Jackson County|Jackson County|38257|1700|FL-Jackson County
United States - Florida - Jefferson County|Jefferson County|41359|5204|FL-Jefferson County
United States - Florida - Lafayette County|Lafayette County|46445|8156|FL-Lafayette County
United States - Florida - Lake County|Lake County|46477|905|FL-Lake County
United States - Florida - Lee County|Lee County|50014|554|FL-Lee County
United States - Florida - Leon County|Leon County|44490|986|FL-Leon County
United States - Florida - Levy County|Levy County|35737|1992|FL-Levy County
United States - Florida - Liberty County|Liberty County|40777|6131|FL-Liberty County
United States - Florida - Madison County|Madison County|37459|4300|FL-Madison County
United States - Florida - Manatee County|Manatee County|47812|986|FL-Manatee County
United States - Florida - Marion County|Marion County|40339|645|FL-Marion County
United States - Florida - Martin County|Martin County|53210|2035|FL-Martin County
United States - Florida - Miami-Dade County|Miami-Dade County|43605|430|FL-Miami-Dade County
United States - Florida - Monroe County|Monroe County|53821|1818|FL-Monroe County
United States - Florida - Nassau County|Nassau County|58712|3276|FL-Nassau County
United States - Florida - Okaloosa County|Okaloosa County|54242|1193|FL-Okaloosa County
United States - Florida - Okeechobee County|Okeechobee County|38339|3410|FL-Okeechobee County
United States - Florida - Orange County|Orange County|50138|460|FL-Orange County
United States - Florida - Osceola County|Osceola County|46328|907|FL-Osceola County
United States - Florida - Palm Beach County|Palm Beach County|53242|480|FL-Palm Beach County
United States - Florida - Pasco County|Pasco County|44228|666|FL-Pasco County
United States - Florida - Pinellas County|Pinellas County|45258|514|FL-Pinellas County
United States - Florida - Polk County|Polk County|43946|639|FL-Polk County
United States - Florida - Putnam County|Putnam County|34645|1755|FL-Putnam County
United States - Florida - St. Johns County|St. Johns County|62663|1464|FL-St. Johns County
United States - Florida - St. Lucie County|St. Lucie County|45196|1116|FL-St. Lucie County
